league,playoffs,date,game,patch,gamelength,blue_playerid,result,firstblood,firstdragon,blue_dragons,blue_elementaldrakes,blue_infernals,blue_mountains,blue_clouds,blue_oceans,blue_elders,firstherald,blue_heralds,firstbaron,blue_barons,firsttower,blue_towers,firstmidtower,firsttothreetowers,blue_inhibitors,red_playerid,red_dragons,red_elementaldrakes,red_infernals,red_mountains,red_clouds,red_oceans,red_elders,red_heralds,red_barons,red_towers,red_inhibitors,blue_totalgold,blue_earnedgold,blue_spentgold,blue_goldat10,blue_goldat15,red_totalgold,red_earnedgold,red_spentgold,red_goldat10,red_goldat15,blue_totalgold_diff,red_totalgold_diff,blue_earnedgold_diff,red_earnedgold_diff,blue_spentgold_diff,red_spentgold_diff,blue_gold_diffat10,red_gold_diffat10,blue_gold_diffat15,red_gold_diffat15
LPL,False,2020-01-16 09:41:00,1,10.1,1645,Victory Five,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,False,0,False,3,False,False,0.0,EDward Gaming,4,4.0,1.0,0.0,1.0,2.0,0.0,1.0,1,8,2.0,40521,22366,38910.0,14893.0,22086.0,53681,35526,47225.0,16206.0,25237.0,-13160,13160,-13160,13160,-8315.0,8315.0,-1313.0,1313.0,-3151.0,3151.0
LPL,False,2020-01-16 10:33:00,2,10.1,2484,Victory Five,False,False,False,1,1.0,1.0,0.0,0.0,0.0,0.0,True,2.0,False,0,True,5,False,False,1.0,EDward Gaming,5,4.0,2.0,1.0,0.0,1.0,1.0,0.0,1,9,2.0,65871,39156,64820.0,14188.0,23043.0,77400,50685,71550.0,16399.0,24430.0,-11529,11529,-11529,11529,-6730.0,6730.0,-2211.0,2211.0,-1387.0,1387.0
LPL,False,2020-01-16 11:47:00,1,10.1,2436,Rogue Warriors,True,True,False,3,2.0,1.0,1.0,0.0,0.0,1.0,True,1.0,True,2,False,8,False,False,1.0,Suning,4,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0,5,1.0,71903,45678,60660.0,16009.0,23177.0,62338,36113,60715.0,14662.0,24002.0,9565,-9565,9565,-9565,-55.0,55.0,1347.0,-1347.0,-825.0,825.0
LPL,False,2020-01-16 12:49:00,2,10.1,2097,Suning,False,True,True,2,2.0,1.0,1.0,0.0,0.0,0.0,True,2.0,False,0,False,3,True,True,0.0,Rogue Warriors,3,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1,8,1.0,53707,30942,51750.0,15285.0,24159.0,60462,37697,53725.0,15081.0,24146.0,-6755,6755,-6755,6755,-1975.0,1975.0,204.0,-204.0,13.0,-13.0
LPL,False,2020-01-17 10:25:00,2,10.1,2343,FunPlus Phoenix,True,False,True,2,2.0,0.0,1.0,0.0,1.0,0.0,True,1.0,True,1,True,11,False,True,4.0,eStar,4,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1,4,0.0,73964,48689,66593.0,15181.0,24280.0,66996,41721,63025.0,14463.0,23622.0,6968,-6968,6968,-6968,3568.0,-3568.0,718.0,-718.0,658.0,-658.0
LPL,False,2020-01-17 11:25:00,3,10.1,1617,eStar,True,True,True,4,4.0,0.0,1.0,1.0,2.0,0.0,False,1.0,True,1,True,10,True,True,2.0,FunPlus Phoenix,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3,0.0,53710,35840,47430.0,18244.0,27982.0,44685,26815,43123.0,15360.0,23883.0,9025,-9025,9025,-9025,4307.0,-4307.0,2884.0,-2884.0,4099.0,-4099.0
LPL,False,2020-01-17 12:22:00,1,10.1,1961,LNG Esports,False,False,False,1,1.0,0.0,1.0,0.0,0.0,0.0,True,2.0,False,0,True,2,False,False,0.0,Top Esports,4,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1,7,1.0,52969,31589,51320.0,14794.0,23760.0,61654,40274,57005.0,15521.0,24005.0,-8685,8685,-8685,8685,-5685.0,5685.0,-727.0,727.0,-245.0,245.0
LPL,False,2020-01-17 13:16:00,2,10.1,1830,Top Esports,True,False,False,1,1.0,0.0,0.0,1.0,0.0,0.0,True,2.0,True,1,True,9,True,True,1.0,LNG Esports,3,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0,2,0.0,55311,35266,48335.0,15066.0,24052.0,46147,26102,42935.0,14864.0,22107.0,9164,-9164,9164,-9164,5400.0,-5400.0,202.0,-202.0,1945.0,-1945.0
LPL,False,2020-01-18 09:40:00,1,10.1,1653,JD Gaming,True,False,False,2,2.0,0.0,2.0,0.0,0.0,0.0,True,1.0,True,1,True,9,True,True,1.0,Team WE,2,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0,2,0.0,54575,36335,46425.0,16650.0,27307.0,41046,22806,39695.0,15897.0,23073.0,13529,-13529,13529,-13529,6730.0,-6730.0,753.0,-753.0,4234.0,-4234.0
LPL,False,2020-01-18 10:33:00,2,10.1,1726,Team WE,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,False,0,False,3,True,False,0.0,JD Gaming,4,4.0,1.0,2.0,0.0,1.0,0.0,1.0,2,9,1.0,43317,24332,41008.0,14408.0,22737.0,57406,38421,52190.0,15836.0,25051.0,-14089,14089,-14089,14089,-11182.0,11182.0,-1428.0,1428.0,-2314.0,2314.0
LPL,False,2020-01-18 11:22:00,1,10.1,1856,Bilibili Gaming,False,False,False,1,1.0,0.0,0.0,0.0,1.0,0.0,True,2.0,False,0,True,4,True,True,0.0,Royal Never Give Up,4,4.0,1.0,1.0,0.0,2.0,0.0,0.0,1,9,1.0,48983,28673,48590.0,14622.0,23837.0,58018,37708,52325.0,14649.0,23798.0,-9035,9035,-9035,9035,-3735.0,3735.0,-27.0,27.0,39.0,-39.0
LPL,False,2020-01-19 09:23:00,1,10.1,1971,Vici Gaming,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,False,0,False,2,False,False,0.0,Dominus Esports,4,4.0,2.0,1.0,1.0,0.0,0.0,1.0,2,10,2.0,51942,30462,48800.0,14183.0,22025.0,60777,39297,55525.0,15281.0,23495.0,-8835,8835,-8835,8835,-6725.0,6725.0,-1098.0,1098.0,-1470.0,1470.0
